Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,US - Chicago - Equinix - CH1 (Cermak) Total,,"76,263"
,,QuantFEED Total,,,"121,790"
,,,,,"121,790"
[anonymised],Customer 41,ConsoFeed,APAC - Hong Kong - HKex Colo,ConsolidatedFEED Business Model - Per Feed,0
,,,,"ConsolidatedFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - FINRA TDDS (1334:TDD) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - HSI Indices (1167:HKH) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1, L2 MBL Depth20 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - OTC Markets including Pinksheets (1000:OTC) - Ref, L1 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Commodity Futures & Options (1221:SGY) - Ref, L1, L2 MBL Depth10 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Real-Time","4,510"
,,,,"ConsolidatedFEED Market Data - TAIFEX Derivatives Market Ultra (1286:TAK) - Ref, L1, L2 MBL Depth5 - Real-Time","4,558"
,,,,"ConsolidatedFEED Market Data - TRADEcho (1234:LSF) - Ref, L1 - Real-Time","4,510"
,,,APAC - Hong Kong - HKex Colo Total,,"81,228"
,,,US - Secaucus - Equinix - NY4,ConsolidatedFEED Business Model - Per Feed,0
,,,,"ConsolidatedFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref, L1 - Real-Time","3,221"
,,,,"ConsolidatedFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref, L1 - Real-Time","3,221"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time","3,221"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time","3,221"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time","3,221"
,,,,"ConsolidatedFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref, L1 - Real-Time","3,221"
,,,US - Secaucus - Equinix - NY4 Total,,"19,328"
,,ConsoFeed Total,,,"100,556"
,,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - OPRA NBBO - no conflation (1081:OPA) - Ref, L1 - Real-Time","19,398"
,,,US - Secaucus - Equinix - NY4 Total,,"19,398"
,,QuantFEED Total,,,"19,398"
,,,,,"119,954"
[anonymised],Customer 37,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBO - Real-Time","14,035"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBO - Real-Time","17,684"
,,,,"QuantFEED Market Data - ICE Endex (1271:ICG) - Ref, L1, L2 MBO - Real-Time",0
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBO - Real-Time","10,693"
,,,,"QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBO - Real-Time","8,421"
,,,,"QuantFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref, L1, L2 MBO - Real-Time","7,017"
,,,,"QuantFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref, L1, L2 MBO - Real-Time","7,017"
,,,,"QuantFEED Market Data - NASDAQ TotalView (1063:NAS) - Ref, L1, L2 MBO - Real-Time","17,109"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBO - Real-Time","11,228"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBO - Real-Time","11,228"
,,,,"QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref, L1, L2 MBO - Real-Time","14,035"
,,,US - Secaucus - Equinix - NY4 Total,,"118,465"
,,QuantFEED Total,,,"118,465"
,,,,,"118,465"
[anonymised],Customer 59,ConsoFeed,US - Chicago - Equinix - CH1 (Cermak),ConsolidatedFEED Business Model - Per Feed,0
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 100 instruments across 18 feeds,"21,049"
,,,,"ConsolidatedFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time","2,887"
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1, L2 MBL Depth5 - Delayed",0
,,,,"ConsolidatedFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBL Depth5 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Korea Exchange Futures - Derivatives A (1232:KOV) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time","3,499"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time","3,499"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time","3,499"
,,,,"ConsolidatedFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,US - Chicago - Equinix - CH1 (Cermak) Total,,"34,431"
,,,US - Secaucus - Equinix - NY4,ConsolidatedFEED Business Model - Per Feed,0
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 100 instruments across 18 feeds,"42,098"
,,,,"ConsolidatedFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - CTA Network A Regionals (1277:CTE) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - CTA Network B Regionals (1278:CTF) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1, L2 MBL Depth5 - Delayed",0
,,,,"ConsolidatedFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBL Depth5 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Korea Exchange Futures - Derivatives A (1232:KOV) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time","7,009"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time","7,009"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time","7,009"
,,,,"ConsolidatedFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - NASDAQ UTP Regionals (1281:NAA) - Ref, L1 - Delayed","2,806"
,,,,"ConsolidatedFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Delayed",0
,,,US - Secaucus - Equinix - NY4 Total,,"79,958"
,,ConsoFeed Total,,,"114,389"
,,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time",0
,,,US - Secaucus - Equinix - NY4 Total,,0
,,QuantFEED Total,,,0
,,,,,"114,389"
[anonymised],Customer 29,QuantFEED,EU - Slough - Equinix - LD4,"QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1 - Real-Time","3,564"
,,,,"QuantFEED Market Data - Cboe BZX (1009:BZX) - Ref, L1 - Real-Time","6,062"
,,,,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1 - Real-Time","3,513"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time","3,513"
,,,,"QuantFEED Market Data - Equiduct MBL (1452:EQW) - Ref, L1 - Real-Time","33,340"
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1 - Real-Time","3,513"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1 - Real-Time","3,513"
,,,,"QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref, L1 - Real-Time","3,908"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref, L1 - Real-Time","6,062"
,,,EU - Slough - Equinix - LD4 Total,,"94,346"
,,QuantFEED Total,,,"94,346"
,,ConsoFeed,EU - London - Interxion - LON1,ConsolidatedFEED Business Model - Per Feed,0
,,,,"ConsolidatedFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Cboe BZX (1009:BZX) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Equiduct MBL (1452:EQW) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Financial Chicago Contracts (1192:ICA) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1 - Delayed",866
,,,,"ConsolidatedFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref, L1 - Delayed",866
,,,EU - London - Interxion - LON1 Total,,"15,587"
,,ConsoFeed Total,,,"15,587"
,,,,,"109,933"
[anonymised],Customer 171,QuantFEED,EU - Frankfurt - Equinix - FR2,"QuantFEED Market Data - Eurex Ultra Futures - CERT (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","23,549"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBL Depth10 - Real-Time","5,046"
,,,EU - Frankfurt - Equinix - FR2 Total,,"28,596"
,,,EU - Slough - Equinix - LD4,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBL Depth10 - Real-Time","20,185"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (Implied Range) (1262:ICF) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,EU - Slough - Equinix - LD4 Total,,"20,185"
,,,US - Aurora - CME Colo,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","18,653"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,US - Aurora - CME Colo Total,,"18,653"
,,,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","5,829"
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","8,266"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1, L2 MBL Depth10 - Real-Time","7,606"
,,,,"QuantFEED Market Data - Nasdaq Fixed Income (1358:NAD) - Ref, L1, L2 MBL Depth5 - Real-Time","5,726"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,US - Secaucus - Equinix - NY4 Total,,"27,427"
,,QuantFEED Total,,,"94,861"
,,ConsoFeed,US - Secaucus - Equinix - NY4,ConsolidatedFEED Business Model - Per Instrument - World Wide - 20 instruments across 5 feeds,"7,017"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 5 instruments across 3 feeds,"7,017"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - Additional 1 feeds to existing pack of instruments from OF listed in ACC,0
,,,,"ConsolidatedFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - JPX Osaka JGB Futures J-NET (1442:JPC) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,US - Secaucus - Equinix - NY4 Total,,"14,034"
,,ConsoFeed Total,,,"14,034"
,,,,,"108,896"
[anonymised],Customer 81,QuantFEED,EU - Slough - Equinix - LD6,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","10,765"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME Block Trades (1460:CHK) - Ref, L1 - Real-Time","2,153"
,,,,"QuantFEED Market Data - EEX Gas Spot Market (1457:EEA) - Ref, L1, L2 MBL Depth5 - Real-Time","10,980"
,,,,"QuantFEED Market Data - EEX T7 EMDI (1468:EEB) - Ref, L1, L2 MBL Depth10 - Real-Time","26,222"
,,,,"QuantFEED Market Data - ICE Endex (1271:ICG) - Ref, L1, L2 MBL Depth5 - Real-Time","7,228"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time","15,186"
,,,,"QuantFEED Market Data - LME base and ferrous metals (1284:LMF) - Ref, L1, L2 MBL Depth10 - Real-Time","10,980"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time","10,765"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX Block Trades (1459:NEY) - Ref, L1 - Real-Time","2,153"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time","10,980"
,,,EU - Slough - Equinix - LD6 Total,,"107,410"
,,QuantFEED Total,,,"107,410"
,,,,,"107,410"
[anonymised],Customer 21,QuantFEED,APAC - Hong Kong - HKex Colo,"QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - ASX Total Equities (1006:AUE) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - HKEx - CSI Indices (1168:HKC) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - HKEx - S&P Indices (1169:HKS) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - HKEx Securities (1038:HKE) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref, L1, L2 MBL Depth10 - Real-Time","6,000"
,,,,"QuantFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref, L1, L2 MBL Depth10 - Real-Time","6,000"
,,,,"QuantFEED Market Data - JPX Tokyo Stock Exchange Equities Flex MBO BC (1389:JPY) - Ref, L1, L2 MBO - Real-Time","15,600"
,,,,"QuantFEED Market Data - Korea Exchange - Derivatives A (1232:KOV) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - Korea Exchange KOSPI stock - Securities A (1049:KSE) - Ref, L1, L2 MBL Depth10 - Real-Time","12,000"
,,,,"QuantFEED Market Data - S&P/ASX Indices (1409:SPA) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Real-Time","6,000"
,,,,"QuantFEED Market Data - Topix Indices (1171:TSI) - Ref, L1 - Real-Time",0
,,,APAC - Hong Kong - HKex Colo Total,,"105,600"
,,QuantFEED Total,,,"105,600"
,,,,,"105,600"
[anonymised],Customer 31,QuantFEED,APAC - Tokyo - KVH,"QuantFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref, L1, L2 MBL Depth10 - Real-Time","32,169"
,,,,"QuantFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Singapore SE Derivatives Index Futures & Options  (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Real-Time","32,169"
,,,APAC - Tokyo - KVH Total,,"64,337"
,,,US - Chicago - Equinix - CH1 (Cermak),"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","26,953"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time","11,052"
,,,US - Chicago - Equinix - CH1 (Cermak) Total,,"38,006"
,,QuantFEED Total,,,"102,343"
,,,,,"102,343"
[anonymised],Customer 40,ConsoFeed,EU - Slough - Equinix - LD4,ConsolidatedFEED Business Model - Per Feed,0
,,,,"ConsolidatedFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1 - Real-Time","7,277"
,,,,"ConsolidatedFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1 - Real-Time","7,277"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time","8,022"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time","8,022"
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time","8,022"
,,,,"ConsolidatedFEED Market Data - NASDAQ TotalView (1063:NAS) - Ref, L1, L2 MBL Depth5 - Real-Time","28,443"
,,,EU - Slough - Equinix - LD4 Total,,"67,063"
,,ConsoFeed Total,,,"67,063"
,,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - OPRA NBBO - 1s conflation (1081:OPA) (1081:OPA) - Ref, L1 - Real-Time","30,000"
,,,US - Secaucus - Equinix - NY4 Total,,"30,000"
,,QuantFEED Total,,,"30,000"
,,,,,"97,063"
[anonymised],Customer 49,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time","10,184"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","10,184"
,,,,"QuantFEED Market Data - CTA Network A Regionals (1277:CTE) - Ref, L1 - Real-Time","9,352"
,,,,"QuantFEED Market Data - CTA Network B Regionals (1278:CTF) - Ref, L1 - Real-Time","9,352"
