Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,"QuantFEED Market Data - Euronext All Indices (1035:EUI) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Euronext Cash Market - CERT (1034:EUR) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,"QuantFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,QuantFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref,"1,094"
,,,,QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref,"1,206"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives - CERT (1072:LII) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref,0
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1, L2 MBL Depth10 - Real-Time","33,207"
,,,,"QuantFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1, L2 MBL Depth10 - Real-Time","8,335"
,,,,"QuantFEED Market Data - Euronext Milan GEM (1439:EUZ) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,QuantFEED Market Data - Euronext Milan MOT Bonds (1016:MOT) - Ref,0
,,,,"QuantFEED Market Data - Euronext Milan TAH (1438:EUY) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref,0
,,,,QuantFEED Market Data - HKEx Securities (1038:HKE) - Ref,"1,167"
,,,,QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref,"1,206"
,,,,QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref,"1,206"
,,,,QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Futures J-NET (1440:JPA) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka JGB Futures J-NET (1442:JPC) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Options J-NET (1441:JPB) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref,"1,206"
,,,,QuantFEED Market Data - JPX Osaka Stock Exchange JGB Futures & Options (1048:KBT) - Ref,0
,,,,QuantFEED Market Data - JPX Osaka Stock Exchange Options (1037:GLO) - Ref,"1,206"
,,,,QuantFEED Market Data - Korea Exchange - Derivatives A (1232:KOV) - Ref,"1,111"
,,,,"QuantFEED Market Data - LSE European Market, LSE International Market (1054:LEE,1055:LEI) - Ref",0
,,,,"QuantFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1, L2 MBO - Real-Time","9,030"
,,,,QuantFEED Market Data - Mexican Derivatives Exchange (1405:MEX) - Ref,"1,111"
,,,,"QuantFEED Market Data - NASDAQ Nordic Derivatives Totalview - CERT (1214:NAT) - Ref, L1, L2 MBL Depth10 - Real-Time","7,190"
,,,,QuantFEED Market Data - NASDAQ Nordic Derivatives TotalView (1214:NAT) - Ref,0
,,,,"QuantFEED Market Data - NASDAQ Nordic Derivatives TotalView (1214:NAT) - Ref, L1, L2 MBL Depth10 - Real-Time","33,326"
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView - CERT (1062:TOT) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView (1062:TOT) - Ref, L1, L2 MBL Depth10 - Real-Time","13,209"
,,,,QuantFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref,"1,206"
,,,,QuantFEED Market Data - NASDAQ UTP Regionals (1281:NAA) - Ref,0
,,,,QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref,"1,206"
,,,,"QuantFEED Market Data - Nordic Growth Market - CERT (1068:NGM) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,QuantFEED Market Data - Nordic Growth Market (1068:NGM) - Ref,0
,,,,"QuantFEED Market Data - Nordic Growth Market (1068:NGM) - Ref, L1, L2 MBL Depth10 - Real-Time","26,565"
,,,,QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref,"1,206"
,,,,QuantFEED Market Data - OPRA NBBO (1081:OPA) - Ref,"1,351"
,,,,QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref,0
,,,,QuantFEED Market Data - OTC Markets including Pinksheets (1000:OTC) - Ref,"1,206"
